application,categorie,note,sentiment,avis,date_avis,likes
Attijari Mobile,Banque,1,negative,Depuis quelque mois je n'ai plus accès a l'appli depuis mon tel que j'utilise depuis plusieurs années. Malgré mes mises à jour desinstaller puis réinstaller enregistrer en tan qu'appareil de confiance rien n'y fait! J'ai appeler le service pareil il a rien fait. J'ai tjs le message d'erreur qui dit que l'accès est indisponible sur ce téléphone alors que c le même 🤦🏽‍♀️. Quelle est la solution???????????????????,2026-06-04 14:29:16,0
Attijari Mobile,Banque,1,negative,توجد به أخطاء بعد التحدئثات الاخيرة,2026-06-04 01:49:11,0
Attijari Mobile,Banque,1,negative,location,2026-06-03 19:42:33,0
Attijari Mobile,Banque,1,negative,prob changer l appareil malgré qu il fonctionne avant dans même appareil,2026-06-01 15:35:31,0
Attijari Mobile,Banque,1,negative,"depuis la dernière mise à jour je n'arrive plus à me connecter. après la saisie du mot de passe, l écran chargement s affiche sans pour autant se connecter. merci de me dire comment débloquer cette situation. besoin urgent. cordialement",2026-06-01 08:22:20,0
Attijari Mobile,Banque,1,negative,"ces deux derniers mois je n'arrive plus à me connecter a mon compte sur l'application, j'ai d'ailleurs cru que j'avais oublié mon mot de passe alors je l'ai changé plusieurs fois mais toujours le même problème, on m'ecris erreur d'authentification ! Pouvez-vous régler ce problème rapidement.",2026-05-29 17:02:58,0
Attijari Mobile,Banque,1,negative,mauvaise,2026-05-28 11:26:31,2
Attijari Mobile,Banque,1,negative,vous ne voudriez pas résoudre le problème d'erreur technique Lors de la connexion à mon compte bancaire sur l'application ? ça fait presque deux mois !!,2026-05-24 17:30:15,0
Attijari Mobile,Banque,1,negative,المطور للبرنامج داخل من الشرجم.. بباك صاحبي .. تطبيق كل مشاكل,2026-05-24 16:57:26,0
Attijari Mobile,Banque,1,negative,impeccable 👍,2026-05-21 01:10:04,0
Attijari Mobile,Banque,1,negative,بالنسبة الهواتف huwawei التطبيق غير متاح ؟,2026-05-20 02:51:07,0
