avis,texte_clean,sentiment,label,application,note
c'est pas mal,c'est pas mal,positive,2,Jumia,4
facile et efficace ☺️ mais j'aimerais que vous proposez plus d'articles,facile et efficace mais j'aimerais que vous proposez plus d'articles,positive,2,Jumia,4
"J’ai passé une commande sur Glovo, mais malheureusement l’expérience a été très décevante. À la réception, plusieurs produits que j’avais commandés n’étaient pas présents et certains produits reçus étaient endommagés et renversés dans le sac. J’ai contacté le service client pour demander un remboursement. Cependant, la réponse m’a surpris : on m’a dit de ne plus annuler de commande à l’avenir et on m’a même demandé si je souhaitais supprimer mon compte.","j ai passé une commande sur glovo, mais malheureusement l expérience a été très décevante. à la réception, plusieurs produits que j avais commandés n étaient pas présents et certains produits reçus étaient endommagés et renversés dans le sac. j ai contacté le service client pour demander un remboursement. cependant, la réponse m a surpris on m a dit de ne plus annuler de commande à l avenir et on m a même demandé si je souhaitais supprimer mon compte.",negative,0,Glovo,1
le meilleure service bancaire au Maroc. super App,le meilleure service bancaire au maroc. super app,positive,2,Attijari Mobile,4
Merci pour votre service,merci pour votre service,positive,2,inDriver,5
ils donnent un nombre de courses pour avoir des bonus et après tu reçois rien,ils donnent un nombre de courses pour avoir des bonus et après tu reçois rien,neutral,1,inDriver,3
vivre la société Avito,vivre la société avito,positive,2,Avito,5
depuis un mois que j'arrive pas à accéder à l'onglet fidélité message d'erreur : momentanément indisponible espérant avoir une justification claire,depuis un mois que j'arrive pas à accéder à l'onglet fidélité message d'erreur momentanément indisponible espérant avoir une justification claire,neutral,1,My inwi,3
il y a des gens qui on augmenter sur le tarif . il sont gourmands et profiteuses,il y a des gens qui on augmenter sur le tarif . il sont gourmands et profiteuses,positive,2,inDriver,5
L'application c'est très simple et rapide merci beaucoup,l'application c'est très simple et rapide merci beaucoup,positive,2,Marjane,4
comment les conducteurs paient l'impôt à l'Etat comme les autres Taxi et moyens de transport ?,comment les conducteurs paient l'impôt à l'etat comme les autres taxi et moyens de transport ?,neutral,1,inDriver,3
"L'app ne fonctionne pas, signature apk invalide!!","l'app ne fonctionne pas, signature apk invalide!",negative,0,CIH Mobile,1
"Franchement, Golove ne respecte pas du tout les ouvriers qui travaillent chez eux. C’est regrettable de traiter des gens qui bossent dur de cette façon","franchement, golove ne respecte pas du tout les ouvriers qui travaillent chez eux. c est regrettable de traiter des gens qui bossent dur de cette façon",negative,0,Glovo,1
Merci pour le recharge,merci pour le recharge,positive,2,My inwi,5
C pas du tt professionnel,c pas du tt professionnel,negative,0,inDriver,1
c'est une application fiable et service rapide,c'est une application fiable et service rapide,positive,2,Yassir,5
"Lorsqu'on passe en mode conducteur, la mise à jour ne se fait pas dans l'immédiat; il faut attendre jusqu'à 24h pour voir son compte être mis à jour, là où certains concurrents le font dans l'immédiat. Du coup pendant 24h, impossible de travailler avec l'application et c'est très agaçant franchement. Aussi les commissions des conducteurs peuvent durer des semaines avant d'être versées.","lorsqu'on passe en mode conducteur, la mise à jour ne se fait pas dans l'immédiat il faut attendre jusqu'à 24h pour voir son compte être mis à jour, là où certains concurrents le font dans l'immédiat. du coup pendant 24h, impossible de travailler avec l'application et c'est très agaçant franchement. aussi les commissions des conducteurs peuvent durer des semaines avant d'être versées.",negative,0,inDriver,2
application professionnelle et flexible bon continuation pour l'équipe digital,application professionnelle et flexible bon continuation pour l'équipe digital,positive,2,CIH Mobile,5
Jai installer mais pas reçu recharge 1go comme toujours déçu orange avent cool mnt orange nul zéro des arnaques des voleurs voila,jai installer mais pas reçu recharge 1go comme toujours déçu orange avent cool mnt orange nul zéro des arnaques des voleurs voila,negative,0,Orange Money MA,1
"Vous avez un problème avec une application, je ne peux pas remplir une carte shopping Une mise à jour récente concernant les problèmes","vous avez un problème avec une application, je ne peux pas remplir une carte shopping une mise à jour récente concernant les problèmes",negative,0,CIH Mobile,1
"Application nulle!!!. À chaque tentative de paiement, une erreur apparaît malgré compte alimenté. j’utilise Orange Money et la procédure n’est pas du tout fluide. très déçu, je vais chercher une autre application.","application nulle. à chaque tentative de paiement, une erreur apparaît malgré compte alimenté. j utilise orange money et la procédure n est pas du tout fluide. très déçu, je vais chercher une autre application.",negative,0,Orange Money MA,1
sur wilaya de Batna c une catastrophe la commande à 18:23 et on est 20:50 et j'ai pas encore reçu ma commande malgré la distance même pas 8 km .,sur wilaya de batna c une catastrophe la commande à et on est et j'ai pas encore reçu ma commande malgré la distance même pas km .,negative,0,Yassir,1
le service est parfait... cependant les livreurs ne sont pas présentables. très souvent sales.,le service est parfait. cependant les livreurs ne sont pas présentables. très souvent sales.,positive,2,Glovo,5
Bonjour. Comme disaient tout le monde. l'application ne s'ouvre pas après son installation. Merci de resoudre le problème le plutôt possible. Cdlt,bonjour. comme disaient tout le monde. l'application ne s'ouvre pas après son installation. merci de resoudre le problème le plutôt possible. cdlt,negative,0,Marjane,1
"Service de réclamation nul, ma commande arrive endommagée et incomplète et vous êtes incapable de me rembourser.","service de réclamation nul, ma commande arrive endommagée et incomplète et vous êtes incapable de me rembourser.",negative,0,Glovo,1
"Cette application est nulle ! Ça fait dix fois que j'essaye de mettre ce fichu compte, mais à chaque fois je retrouve au point de départ. J'attends que ça soit réglée à la prochaine mise à jour.","cette application est nulle ! ça fait dix fois que j'essaye de mettre ce fichu compte, mais à chaque fois je retrouve au point de départ. j'attends que ça soit réglée à la prochaine mise à jour.",negative,0,Jumia,1
Je préfère faire mes courses a marjane hay riad le service est parfait je me sens a l'aise merci a toute l'équipe bonne fête,je préfère faire mes courses a marjane hay riad le service est parfait je me sens a l'aise merci a toute l'équipe bonne fête,positive,2,Marjane,5
svp votre application n est pas disponible sur l app gallerie de Huawei,svp votre application n est pas disponible sur l app gallerie de huawei,negative,0,BMCE Direct,1
Impossible de créer un compte. Bloqué à la sélection de ville,impossible de créer un compte. bloqué à la sélection de ville,negative,0,Marjane,1
chefara .. voleurs... thiefs,chefara . voleurs. thiefs,negative,0,Glovo,1
